# AEGIS V2 Universe Manifest — 2026-04-04 — Source: config/contracts.toml
symbol,exchange,sec_type,currency,leverage,sector
BATS.L,LSE,STK,GBP,1,Tobacco
BBOX.L,LSE,STK,GBP,1,REITs
BBY.L,LSE,STK,GBP,1,Construction
BCG.L,LSE,STK,GBP,1,Consumer_Digital_Services
BEZ.L,LSE,STK,GBP,1,Insurance
BGEO.L,LSE,STK,GBP,1,Banks
BGFD.L,LSE,STK,GBP,1,Investment_Trusts
BHMG.L,LSE,STK,GBP,1,Hedge_Funds
BKG.L,LSE,STK,GBP,1,Consumer_Goods
BLND.L,LSE,STK,GBP,1,Real_Estate
BME.L,LSE,STK,GBP,1,Retail
BNKR.L,LSE,STK,GBP,1,Investment_Trusts
BNZL.L,LSE,STK,GBP,1,Services
BOOT.L,LSE,STK,GBP,1,Real_Estate
BOWL.L,LSE,STK,GBP,1,Travel_Leisure
BOY.L,LSE,STK,GBP,1,Engineering
BP..L,LSE,STK,GBP,1,Energy
BP.L,LSE,STK,GBP,1,Oil_&_gas_producers
BPCR.L,LSE,STK,GBP,1,Investment_Trusts
BPT.L,LSE,STK,GBP,1,Finance
BRBY.L,LSE,STK,GBP,1,Consumer_Goods
BREE.L,LSE,STK,GBP,1,Construction
BRGE.L,LSE,STK,GBP,1,Investment_Trusts
BRSC.L,LSE,STK,GBP,1,Equity_Investments
BRWM.L,LSE,STK,GBP,1,Investment_Trusts
BSIF.L,LSE,STK,GBP,1,Investment_Trusts
BT.A.L,LSE,STK,GBP,1,Telecommunications_services
BTA.L,LSE,STK,GBP,1,Telecommunications
BTRW.L,LSE,STK,GBP,1,Consumer_Goods
BUT.L,LSE,STK,GBP,1,Investment_Trusts
BWY.L,LSE,STK,GBP,1,Home_Construction
BYG.L,LSE,STK,GBP,1,REITs
BYIT.L,LSE,STK,GBP,1,Aerospace_Defense
CABP.L,LSE,STK,GBP,1,Finance
CAPD.L,LSE,STK,GBP,1,Mining
CARD.L,LSE,STK,GBP,1,Specialty_Retail
CBG.L,LSE,STK,GBP,1,Finance
CCC.L,LSE,STK,GBP,1,Technology
CCEP.L,LSE,STK,GBP,1,Beverages
CCH.L,LSE,STK,GBP,1,Beverages
CCL.L,LSE,STK,GBP,1,Travel_Leisure
CCR.L,LSE,STK,GBP,1,Food
CGT.L,LSE,STK,GBP,1,Investment_Trusts
CHG.L,LSE,STK,GBP,1,Aerospace_Defense
CHRY.L,LSE,STK,GBP,1,Investment_Trusts
CKN.L,LSE,STK,GBP,1,Transport
CLDN.L,LSE,STK,GBP,1,Investment_Trusts
CLI.L,LSE,STK,GBP,1,Real_Estate
CLIG.L,LSE,STK,GBP,1,Asset_Management
CMCX.L,LSE,STK,GBP,1,Finance
CNA.L,LSE,STK,GBP,1,Utilities
CNE.L,LSE,STK,GBP,1,Energy
COA.L,LSE,STK,GBP,1,Consumer_Staples
COST.L,LSE,STK,GBP,1,Engineering_And_Construction
CPG.L,LSE,STK,GBP,1,Services
CPI.L,LSE,STK,GBP,1,Specialty_Business_Services
CRDA.L,LSE,STK,GBP,1,Chemicals
CSN.L,LSE,STK,GBP,1,Insurance
CTEC.L,LSE,STK,GBP,1,Healthcare
CTY.L,LSE,STK,GBP,1,Investment_Trusts
CURY.L,LSE,STK,GBP,1,Retail
CVSG.L,LSE,STK,GBP,1,Healthcare
CWK.L,LSE,STK,GBP,1,Food
CWR.L,LSE,STK,GBP,1,Energy
DCC.L,LSE,STK,GBP,1,Services
DFS.L,LSE,STK,GBP,1,Furnishings_Fixtures_Appliances
DGE.L,LSE,STK,GBP,1,Beverages
DLN.L,LSE,STK,GBP,1,REITs
DNLM.L,LSE,STK,GBP,1,Retail
DOCS.L,LSE,STK,GBP,1,Retail
DOM.L,LSE,STK,GBP,1,Travel_Leisure
DPLM.L,LSE,STK,GBP,1,Services
DRX.L,LSE,STK,GBP,1,Utilities
DSCV.L,LSE,STK,GBP,1,Services
EDIN.L,LSE,STK,GBP,1,Investment_Trusts
EDV.L,LSE,STK,GBP,1,Mining
ELM.L,LSE,STK,GBP,1,Chemicals
EMG.L,LSE,STK,GBP,1,Investment_Trusts
ENOG.L,LSE,STK,GBP,1,Oil_Gas_Producers
ENQ.L,LSE,STK,GBP,1,Oil_Gas_Ep
ENT.L,LSE,STK,GBP,1,Travel_Leisure
ESCT.L,LSE,STK,GBP,1,Investment_Trusts
EVOK.L,LSE,STK,GBP,1,Gambling
EWG.L,LSE,STK,GBP,1,Finance
EWI.L,LSE,STK,GBP,1,Investment_Trusts
EXPN.L,LSE,STK,GBP,1,Services
EZJ.L,LSE,STK,GBP,1,Travel_Leisure
FAN.L,LSE,STK,GBP,1,Construction
FCH.L,LSE,STK,GBP,1,Finance
FCIT.L,LSE,STK,GBP,1,Collective_investments
FCSS.L,LSE,STK,GBP,1,Investment_Trusts
FEML.L,LSE,STK,GBP,1,Investment_Trusts
FEV.L,LSE,STK,GBP,1,Investment_Trusts
FGEN.L,LSE,STK,GBP,1,Investment_Trusts
FGP.L,LSE,STK,GBP,1,Travel_Leisure
FGT.L,LSE,STK,GBP,1,Equity_Investments
FORT.L,LSE,STK,GBP,1,Building_Materials
FOUR.L,LSE,STK,GBP,1,Media
FOXT.L,LSE,STK,GBP,1,Real_Estate
FRAS.L,LSE,STK,GBP,1,Retail
FRES.L,LSE,STK,GBP,1,Mining
FSG.L,LSE,STK,GBP,1,Finance
FSJ.L,LSE,STK,GBP,1,Marine_Shipping
FSTA.L,LSE,STK,GBP,1,Restaurants
FSV.L,LSE,STK,GBP,1,Investment_Trusts
GAMA.L,LSE,STK,GBP,1,Telecommunications
GAW.L,LSE,STK,GBP,1,Leisure
GBG.L,LSE,STK,GBP,1,Technology
GCP.L,LSE,STK,GBP,1,Finance
GDWN.L,LSE,STK,GBP,1,Industrials
GEN.L,LSE,STK,GBP,1,Construction
GFRD.L,LSE,STK,GBP,1,Construction
GFTU.L,LSE,STK,GBP,1,Services
GLE.L,LSE,STK,GBP,1,Residential_Construction
GLEN.L,LSE,STK,GBP,1,Mining
GMS.L,LSE,STK,GBP,1,Energy
GNC.L,LSE,STK,GBP,1,Food
GNS.L,LSE,STK,GBP,1,Pharma
GPE.L,LSE,STK,GBP,1,REITs
GRG.L,LSE,STK,GBP,1,Retail
GRI.L,LSE,STK,GBP,1,Real_Estate
GROW.L,LSE,STK,GBP,1,Finance
GSCT.L,LSE,STK,GBP,1,Investment_Trusts
GSK.L,LSE,STK,GBP,1,Pharma
GYM.L,LSE,STK,GBP,1,Leisure
HAS.L,LSE,STK,GBP,1,Services
HBR.L,LSE,STK,GBP,1,Oil_Gas_Producers
HEAD.L,LSE,STK,GBP,1,Furnishings_Fixtures_Appliances
HFD.L,LSE,STK,GBP,1,Specialty_Retail
HFG.L,LSE,STK,GBP,1,Food
HGT.L,LSE,STK,GBP,1,Investment_Trusts
HICL.L,LSE,STK,GBP,1,Investment_Trusts
HIK.L,LSE,STK,GBP,1,Pharma
HILS.L,LSE,STK,GBP,1,Engineering
HLCL.L,LSE,STK,GBP,1,Real_Estate
HLMA.L,LSE,STK,GBP,1,Electronic_Equipment_Parts
HLN.L,LSE,STK,GBP,1,Pharma
HMSO.L,LSE,STK,GBP,1,REITs
HOC.L,LSE,STK,GBP,1,Basic_Resources
HRI.L,LSE,STK,GBP,1,Investment_Trusts
HSBA.L,LSE,STK,GBP,1,Banks
HSL.L,LSE,STK,GBP,1,Investment_Trusts
HSW.L,LSE,STK,GBP,1,Travel_Services
HSX.L,LSE,STK,GBP,1,Insurance
HTG.L,LSE,STK,GBP,1,Energy
HTWS.L,LSE,STK,GBP,1,Telecomms
HVPE.L,LSE,STK,GBP,1,Equity_Investments
HWDN.L,LSE,STK,GBP,1,Homebuilding_Construction_Supplies
HWG.L,LSE,STK,GBP,1,Real_Estate
IAD.L,LSE,STK,GBP,1,Investment_Trusts
IAG.L,LSE,STK,GBP,1,Travel_Leisure
IBST.L,LSE,STK,GBP,1,Construction
ICG.L,LSE,STK,GBP,1,Financial_services
ICGT.L,LSE,STK,GBP,1,Investment_Trusts
ICP.L,LSE,STK,GBP,1,Finance
IEM.L,LSE,STK,GBP,1,Investment_Trusts
IGG.L,LSE,STK,GBP,1,Finance
IHG.L,LSE,STK,GBP,1,Travel_Leisure
IHP.L,LSE,STK,GBP,1,Finance
III.L,LSE,STK,GBP,1,Finance
IMB.L,LSE,STK,GBP,1,Tobacco
IMI.L,LSE,STK,GBP,1,Engineering
